Code,Name,Industry Code,Industry,No. of Listed Shares(shr.),Capital Stock(KRW),ParValue,Currency,
086220,Naturalfnp,031007,Manufacture of Other Food Products,"7,384,275","3,692,137,500",500,KRW,410
095660,NeoWizGames,105802,Software Development and Supply,"21,915,008","10,957,504,000",500,KRW,1728
037340,Neoarena,032604,Manufacture of Telecommunication and Broadcasting Apparatuses,"50,193,906","25,096,953,000",500,KRW,206
092730,Neopharm,032004,Manufacture of Other Chemical Products,"7,461,237","3,730,618,500",500,KRW,48
104200,Neowiz Internet,106309,Other Information Service Activities,"14,827,550","7,413,775,000",500,KRW,1744
053290,Neungyule,105801,"Publishing of Books, Magazines and Other Publications","11,549,500","5,774,750,000",500,KRW,1317
900100,New Pride,074502,Sale of Motor Vehicle Parts and Accessories,"34,255,544","102,767",0.003,USD,923
139670,NexStreaming,105802,Software Development and Supply,"7,016,911","3,508,455,500",500,KRW,1396
110570,Nexolon Company,032601,Manufacture of Semiconductor,"141,779,278","70,889,639,000",500,KRW,823
041140,Nexon GT,105802,Software Development and Supply,"35,373,322","17,686,661,000",500,KRW,513
137940,NextEye,032702,"Manufacture of Instruments and Appliances for Measuring, Checking, Testing, Navigating, controlling and Other Purposes, Except Optical Instruments","7,949,344","4,190,412,000",500,KRW,28
092600,Nextchip,032601,Manufacture of Semiconductor,"13,297,500","6,648,750,000",500,KRW,38
072710,Nongshim Holdings,137105,"Activities of Head Offices, Holding Companies and Management Consultancy","4,637,790","23,188,950,000","5,000",KRW,1634
069140,Nuriplan,032501,"Manufacture of Structural Metal Products, Tanks, Reservoirs and Steam Generators","4,540,083","2,270,041,500",500,KRW,1201
002630,OBI,032102,Manufacture of Medicaments,"155,299,535","77,649,767,500",500,KRW,1150
010060,OCI,032001,Manufacture of Basic Chemicals,"23,849,371","127,246,855,000","5,000",KRW,1625
036490,OCI Materials,032001,Manufacture of Basic Chemicals,"10,547,673","5,273,836,500",500,KRW,372
039200,OCT Inc.,032102,Manufacture of Medicaments,"24,238,126","12,119,063,000",500,KRW,1297
080520,ODTech,032601,Manufacture of Semiconductor,"11,746,609","5,873,304,500",500,KRW,1673
138080,OE Solutions,032604,Manufacture of Telecommunication and Broadcasting Apparatuses,"5,179,610","2,589,805,000",500,KRW,917
045060,OKONG Corp.,032004,Manufacture of Other Chemical Products,"11,521,974","5,760,987,000",500,KRW,217
080580,OKins,032602,Manufacture of Electronic Components,"6,200,000","3,100,000,000",500,KRW,772
014940,OPCO,033101,Building of Ships and Boats,"36,132,803","18,066,401,500",500,KRW,932
109080,OPTICIS,032604,Manufacture of Telecommunication and Broadcasting Apparatuses,"5,636,000","2,818,000,000",500,KRW,572
082210,OPTRONTEC,032703,"Manufacture of Spectacle, Photographic Equipment and Other Optical Instruments","20,168,748","10,084,374,000",500,KRW,297
010470,ORICOM,137103,Advertising,"10,894,250","10,894,250,000","1,000",KRW,992
001800,ORION,031007,Manufacture of Other Food Products,"5,975,363","29,876,815,000","5,000",KRW,1167
053980,OSANGJAIEL,106201,"Computer programming, System Integration and Management Services","17,747,882","8,873,941,000",500,KRW,1237
048260,OSSTEMIMPLANT,032701,Manufacture of Medical Appliances and Instruments,"14,285,717","7,142,858,500",500,KRW,1044
052420,OSUNG LST,032001,Manufacture of Basic Chemicals,"123,955,573","62,039,070,500",500,KRW,160
007310,OTTOGI,031007,Manufacture of Other Food Products,"3,440,000","17,200,000,000","5,000",KRW,894
006090,OYANG,010301,Fishing and Gathering of Marine Materials,"9,422,739","47,113,695,000","5,000",KRW,231
057540,Omnisystem,032702,"Manufacture of Instruments and Appliances for Measuring, Checking, Testing, Navigating, controlling and Other Purposes, Except Optical Instruments","40,679,015","20,339,507,500",500,KRW,1498
057680,Omnitel,105802,Software Development and Supply,"15,557,273","7,778,636,500",500,KRW,106
049480,Openbase,106201,"Computer programming, System Integration and Management Services","31,422,383","15,711,191,500",500,KRW,1240
123010,OptoPAC,032602,Manufacture of Electronic Components,"3,164,822","1,582,411,000",500,KRW,1494
046120,Orbitech,137209,Other Scientific and Technical Services,"10,844,352","5,422,176,000",500,KRW,1505
065500,Orient Precision Industries,033003,Manufacture of Parts and Accessories for Motor Vehicles and Engines,"22,143,627","11,071,813,500",500,KRW,771
137400,P&T,032902,Manufacture of Special-Purpose Machinery,"7,600,000","3,800,000,000",500,KRW,1760
001340,PAIKKWANG IND,032001,Manufacture of Basic Chemicals,"44,918,407","22,459,203,500",500,KRW,1128
068050,PAN ENTERTAINMENT,105901,"Motion Picture, Video, Broadcasting Programmes Production and Distribution","9,243,655","4,621,827,500",500,KRW,1135
007980,PAN-PACIFIC,031401,"Manufacture of Sewn Wearing Apparel, Except Fur Apparel","39,631,337","19,815,668,500",500,KRW,744
046210,PANAGENE,032103,Manufacture of Pharmaceutical Goods Other Than Medicaments,"26,806,666","13,403,333,000",500,KRW,273
202960,PANDORA TV,105802,Software Development and Supply,"10,783,123","5,391,561,500",500,KRW,1819
003610,PANGRIM,031302,Weaving of Textiles and Manufacture of Textile Products,"4,231,409","21,157,045,000","5,000",KRW,77
028040,PARK&OPC,032901,Manufacture of General Purpose Machinery,"37,400,798","18,700,399,000",500,KRW,463
091700,PARTRON,032602,Manufacture of Electronic Components,"54,156,410","27,078,205,000",500,KRW,44
043200,PARU,032801,"Manufacture of Electric Motors, Generators and Transforming, Distributing and Controlling Apparatus of Electricity","17,449,268","8,724,634,000",500,KRW,1054
037070,PASECO,032805,Manufacture of Domestic Appliances,"13,200,000","6,600,000,000",500,KRW,1250
194510,PATI Games,105802,Software Development and Supply,"5,036,844","2,518,422,000",500,KRW,1875
177830,PAVONINE,032602,Manufacture of Electronic Components,"5,355,636","2,677,818,000",500,KRW,1856
051380,PCD,074605,Wholesale of Machinery Equipment and Supplies,"6,918,324","3,459,162,000",500,KRW,1249
087010,PEPTRON,032101,"Manufacture of Medicinal Chemicals, Antibiotics and Biological Products","5,092,001","2,546,000,500",500,KRW,1802
043370,PHA,033003,Manufacture of Parts and Accessories for Motor Vehicles and Engines,"21,000,000","10,500,000,000",500,KRW,321
090080,PHC,033003,Manufacture of Parts and Accessories for Motor Vehicles and Engines,"37,403,844","18,701,922,000",500,KRW,88
010770,PHHC,137105,"Activities of Head Offices, Holding Companies and Management Consultancy","14,625,466","7,312,733,000",500,KRW,860
050090,PHOENIX MATERIALS,032602,Manufacture of Electronic Components,"54,296,366","27,148,183,000",500,KRW,1286
950010,PING SHAN TEA,137105,"Activities of Head Offices, Holding Companies and Management Consultancy","4,803,497",0,0,HKD,1277
006140,PJ Electro,032701,Manufacture of Medical Appliances and Instruments,"10,000,000","5,000,000,000",500,KRW,688
128660,PJ METAL,032402,Manufacture of Basic Precious and Non-ferrous Metals,"21,969,115","10,984,557,500",500,KRW,1543
082390,PLA,032602,Manufacture of Electronic Components,"48,058,384","24,029,192,000",500,KRW,296
075130,PLANTYNET,106201,"Computer programming, System Integration and Management Services","8,960,000","4,480,000,000",500,KRW,1094
